Vendor # @	Vendor Creation Date	Vendor name	Vendor country key	Vendor Type Description	Vendor Material type	company_code	Region Description	Posting Block for Company Code	Business Unit
1184569	10/17/22	NR B V H	NL	PO	Software	2800	EMEA		
1184568	10/17/22	MLALLPAW	CA	PO	Professional Services	1100	North America		
1184568	10/17/22	MLALLPAW	CA	PO	Professional Services	1900	North America		
1184568	10/17/22	WNGINCGI	US	PO	Contingent Workforce	2800	EMEA		
1184567	10/14/22	MSSLLCS 	US	NPO	Professional Services	1100	North America		U7390
1184566	10/14/22	LONOUPN 	IL	PO	Contingent Workforce	2001	EMEA		
1184566	10/14/22	OGAINCAT	US	PO	Professional Services	2300	EMEA		
1184565	10/14/22	MINTICNK	TR	PO	Software	2118	EMEA		
1184565	10/14/22	ERDLLCD 	US	PO	Software	2150	EMEA		
1184564	10/13/22	UABNC.BO	US	PO	Professional Services	1116	North America		
1184563	10/12/22	BININCNC	US	PO	Marketing & Creative	2150	EMEA		
1184563	10/12/22	BDBLTDB 	TH	PO	HR	3108	APAC		
1184562	10/11/22	TTACIAAI	US	PO	Marketing & Creative	1116	North America		
1184562	10/11/22	YALINCL 	US	PO	Software	1200	North America		
1184561	10/11/22	S PAGEPR	FR	PO	HR	2126	EMEA		
1184561	10/11/22	S PAGEPR	FR	PO	HR	2640	EMEA		
1184560	10/10/22	RAMREZM 	MX	PO	HR	4042	CALA		
1184560	10/10/22	GALLLCL 	US	PO	Marketing & Creative	2300	EMEA		
1184559	10/10/22	1IXLTDX 	IL	PO	Software	2200	EMEA		
1184559	10/10/22	1IXLTDX 	IL	PO	Software	2300	EMEA		
1184559	10/10/22	1IXLTDX 	IL	PO	Software	2800	EMEA		
1184559	10/10/22	1IXLTDX 	IL	PO	Software	2900	EMEA		
1184559	10/10/22	R SCESSW	IN	PO	Facilities	6000	India		
1184559	10/10/22	R SCESSW	IN	PO	Facilities	6002	India	X	
1184559	10/10/22	R SCESSW	IN	PO	Facilities	6012	India		
1184559	10/10/22	R SCESSW	IN	PO	Facilities	6060	India	X	
1184558	10/10/22	RGMLTDMO	AU	PO	Facilities	3002	APAC		
1184558	10/7/22	ESO ABOF	SE	PO	Software	2900	EMEA		
1184557	10/7/22	ZS LTD L	IL	PO	Facilities	5000	ISR		
1184556	10/6/22	OL B V C	NL	PO	Events	1200	North America	X	
1184556	10/6/22	RCEKFTED	HU	PO	Real Estate	2200	EMEA		
1184555	10/6/22	ANOLIMOT	BR	PO	IT Services	2150	EMEA		
1184555	10/6/22	UH  SL P	ES	PO	Facilities	2540	EMEA		
1184554	10/6/22	EXHLTDHI	ZA	PO	Marketing & Creative	2300	EMEA		
1184553	10/6/22	LOULTDUR	SG	PO	HR	3002	APAC	X	
1184553	10/6/22	LOULTDUR	SG	PO	HR	3100	APAC		
1184553	10/6/22	LOULTDUR	SG	PO	HR	3160	APAC		
1184553	10/4/22	IERLTDRT	IL	NPO	Vehicles	5000	ISR		U7391
1184552	10/4/22	  IAYAIN	"ID"	PO	Hardware	3120	APAC	X	
1184552	10/4/22	MADE TD 	TR	PO	Software	2118	EMEA		
1184551	10/3/22	L MLTDMO	IL	NPO	Vehicles	5000	ISR		U7391
1184550	10/3/22	NEWANDW 	NZ	NPO	HR	3170	APAC		U7599
1184550	10/3/22	UKOMANOI	IL	PO	Events	5000	ISR		
1184549	10/1/22	HASALSSH	IN	PO	Facilities	6000	India		
1184549	10/1/22	HASALSSH	IN	PO	Facilities	6012	India		
1184549	10/1/22	HASALSSH	IN	PO	Facilities	6060	India		
1184549	9/29/22	SLE CVE 	MX	PO	Real Estate	4042	CALA		
1184548	9/29/22	SR ION D	US	PO	Marketing & Creative	2300	EMEA		
1184548	9/29/22	 NSLLCSU	RU	PO	Contingent Workforce	2258	EMEA		
1184547	9/28/22	OATLTDTE	IN	PO	Facilities	6060	India		
1184546	9/26/22	VEAACTAS	IT	PO	Events	2300	EMEA	X	
1184546	9/26/22	AFIITEIR	IN	PO	Facilities	6000	India		
1184545	9/23/22	INTCEST 	IN	PO	Facilities	6000	India		
1184545	9/23/22	INTCEST 	IN	PO	Facilities	6002	India		
1184545	9/23/22	INTCEST 	IN	PO	Facilities	6012	India		
1184545	9/23/22	SCLLTDLI	AU	PO	Marketing & Creative	3166	APAC	X	
1184545	9/23/22	SCLLTDLI	AU	PO	Marketing & Creative	3170	APAC	X	
1184545	9/23/22	SCLLTDLI	AU	PO	Marketing & Creative	3172	APAC	X	
1184545	9/23/22	SCLLTDLI	AU	PO	Marketing & Creative	3174	APAC		
1184544	9/23/22	QQBE	IN	PO	HR	6000	India		
1184543	9/22/22	R CTIOCY	CY	PO	Facilities	2800	EMEA		
1184543	9/22/22	RIFRUSFE	CY	PO	Facilities	2800	EMEA		
1184542	9/22/22	A STEDSA	IL	PO	Facilities	5000	ISR		
1184542	9/21/22	IOTINCTT	US	PO	Marketing & Creative	2300	EMEA		
1184541	9/21/22	 GAAYAAP	"ID"	PO	Hardware	3120	APAC	X	
1184540	9/21/22	EMALLPAN	IN	PO	HR	6000	India		
1184540	9/21/22	NCAUIMAO	BR	PO	HR	4000	CALA		
1184539	9/20/22	DNVIONVE	US	NPO	Professional Services	1114	North America	X	18431
1184539	9/20/22	DNVIONVE	US	NPO	Professional Services	1222	North America		18431
1184539	9/20/22	I LINGLO	US	PO	Marketing & Creative	2300	EMEA		
1184538	9/19/22	R PRRYPE	IL	PO	HR	5000	ISR		
1184538	9/19/22	 GRSIARA	"ID"	PO	Hardware	3120	APAC	X	
1184538	9/19/22	 GRSIARA	"ID"	PO	Hardware	3122	APAC	X	
1184537	9/16/22	EED OYD 	FI	PO	Events	2630	EMEA		
1184536	9/16/22	NRGINCGE	US	PO	Contingent Workforce	1100	North America	X	
1184536	9/16/22	NRGINCGE	US	PO	Contingent Workforce	1116	North America	X	
1184536	9/15/22	T IINCIN	US	PO	Hardware	1116	North America		
1184535	9/15/22	INALTDAV	IN	PO	Facilities	6000	India		
1184535	9/15/22	INALTDAV	IN	PO	Facilities	6002	India		
1184535	9/15/22	INALTDAV	IN	PO	Facilities	6012	India		
1184535	9/15/22	INALTDAV	IN	PO	Facilities	6060	India		
1184535	9/15/22	UPTTEDTI	GB	PO	Software	1100	North America		
1184535	9/15/22	UPTTEDTI	GB	PO	Software	2300	EMEA		
1184535	9/15/22	UPTTEDTI	GB	PO	Software	2800	EMEA		
1184534	9/15/22	GBUOGIUA	"ID"	PO	Software	3120	APAC		
1184534	9/15/22	GBUOGIUA	"ID"	PO	Software	3122	APAC		
1184533	9/14/22	SORINCRP	US	PO	HR	2300	EMEA		
1184533	9/14/22	VERTESR 	BR	PO	Professional Services	4000	CALA		
1184532	9/14/22	I HINCHO	US	PO	Learning & Development	2300	EMEA		
1184531	9/13/22	AR LTD L	IL	PO	Marketing & Creative	1950	North America		
1184531	9/13/22	AR LTD L	IL	PO	Marketing & Creative	2300	EMEA		
1184530	9/13/22	U BOCKBA	NZ	PO	Events	3166	APAC	X	
1184530	9/13/22	U BOCKBA	NZ	PO	Events	3170	APAC		
1184530	9/13/22	U BOCKBA	NZ	PO	Events	3172	APAC	X	
1184530	9/13/22	U BOCKBA	NZ	PO	Events	3174	APAC	X	
1184529	9/12/22	MAL EVLL	DE	PO	Marketing & Creative	2300	EMEA		
1184529	9/12/22	NINIORNT	IN	PO	Real Estate	6000	India	X	
1184528	9/7/22	O CFEECO	IN	PO	Facilities	6000	India		
1184528	9/7/22	O CFEECO	IN	PO	Facilities	6002	India	X	
1184528	9/7/22	O CFEECO	IN	PO	Facilities	6012	India	X	
1184528	9/7/22	VTUCESUD	IL	PO	Marketing & Creative	2300	EMEA		
1184527	9/7/22	UO EPI P	IL	PO	Marketing & Creative	2300	EMEA		
1184527	9/7/22	UO EPI P	IL	PO	Marketing & Creative	5000	ISR		
1184526	9/7/22	UOCMBHCA	DE	PO	Marketing & Creative	2150	EMEA		
1184526	9/7/22	MZ LTD H	IL	PO	Facilities	5000	ISR		
1184525	9/7/22	NEICHTI 	DE	NPO	Professional Services	2300	EMEA		U0046
1184525	9/7/22	NEICHTI 	DE	NPO	Professional Services	2800	EMEA		U0046
1184525	9/6/22	XDVTESVO	TZ	NPO	Professional Services	7002	EMEA	X	U0046
1184524	9/5/22	COLLLCLU	AE	PO	IT Services	2460	EMEA	X	
1184524	9/5/22	COLLLCLU	AE	PO	IT Services	2500	EMEA		
1184524	9/5/22	COLLLCLU	AE	PO	IT Services	2800	EMEA	X	
1184523	9/5/22	SEN BVNE	NL	PO	Learning & Development	2300	EMEA		
1184523	9/2/22	ADILTDIG	GB	PO	Marketing & Creative	2300	EMEA		
1184522	9/2/22	TTALLCAI	US	NPO	Marketing & Creative	1116	North America		18500
1184521	9/2/22	IO IGN C	BR	PO	Professional Services	3170	APAC		
1184520	9/2/22	CR TDA Z	BR	PO	Hardware	3170	APAC		
1184520	9/1/22	CITINCTD	PH	PO	HR	3104	APAC		
1184519	9/1/22	TEWGANW 	US	PO	Contingent Workforce	1114	North America	X	
1184519	9/1/22	TEWGANW 	US	PO	Contingent Workforce	1220	North America	X	
1184519	9/1/22	TEWGANW 	US	PO	Contingent Workforce	1222	North America		
1184519	9/1/22	SAYTDAY 	BR	NPO	Travel	4000	CALA		U7404
1184518	9/1/22	STIITYIA	CA	PO	Marketing & Creative	2300	EMEA		
1184518	9/1/22	STIITYIA	CA	PO	Marketing & Creative	2800	EMEA		
1184518	9/1/22	QRELTDEI	AU	PO	Hardware	3166	APAC	X	
1184518	9/1/22	QRELTDEI	AU	PO	Hardware	3170	APAC	X	
1184518	9/1/22	QRELTDEI	AU	PO	Hardware	3172	APAC	X	
1184518	9/1/22	QRELTDEI	AU	PO	Hardware	3174	APAC		
1184517	9/1/22	ARALUBA 	IN	PO	Events	6000	India		
1184516	8/30/22	RFILTDIS	IN	PO	HR	6000	India		
1184516	8/30/22	L CPHYCU	US	PO	Professional Services	1114	North America	X	
1184516	8/30/22	L CPHYCU	US	PO	Professional Services	1220	North America	X	
1184516	8/30/22	L CPHYCU	US	PO	Professional Services	1222	North America		
1184515	8/29/22	IACTEDCE	NZ	PO	Facilities	3170	APAC		
1184515	8/28/22	NCICIÓIÓ	MX	PO	HR	4042	CALA		
1184514	8/26/22	AN PVT S	IN	PO	Contingent Workforce	1116	North America		
1184514	8/26/22	AN PVT S	IN	PO	Contingent Workforce	2800	EMEA		
1184514	8/26/22	AN PVT S	IN	PO	Contingent Workforce	5062	ISR		
1184514	8/26/22	AN PVT S	IN	PO	Contingent Workforce	6000	India	X	
1184514	8/26/22	AN PVT S	IN	PO	Contingent Workforce	6002	India	X	
1184514	8/26/22	AN PVT S	IN	PO	Contingent Workforce	6012	India		
1184514	8/26/22	AN PVT S	IN	PO	Contingent Workforce	6060	India		
1184513	8/26/22	IREEAMEA	IL	PO	Professional Services	5000	ISR		
1184513	8/26/22	IREEAMEA	IL	PO	Professional Services	7002	EMEA	X	
1184513	8/26/22	GASINCST	US	PO	IT Services	1116	North America		
1184513	8/26/22	GASINCST	US	PO	IT Services	1950	North America	X	
1184512	8/25/22	VCEAISEN	BR	PO	Events	4000	CALA		
1184512	8/25/22	O LLTDLT	IL	PO	Software	1100	North America		
1184512	8/25/22	O LLTDLT	IL	PO	Software	2001	EMEA		
1184512	8/25/22	O LLTDLT	IL	PO	Software	2300	EMEA		
1184512	8/25/22	O LLTDLT	IL	PO	Software	2800	EMEA		
1184512	8/25/22	O LLTDLT	IL	PO	Software	5000	ISR		
1184511	8/25/22	NCELLCEN	US	PO	Real Estate	1100	North America		
1184511	8/25/22	NCELLCEN	US	PO	Real Estate	1120	North America		
1184510	8/25/22	ALILTDIN	AU	PO	Learning & Development	3166	APAC	X	
1184510	8/25/22	ALILTDIN	AU	PO	Learning & Development	3170	APAC		
1184510	8/25/22	ALILTDIN	AU	PO	Learning & Development	3172	APAC	X	
1184510	8/25/22	ALILTDIN	AU	PO	Learning & Development	3174	APAC	X	
1184510	8/25/22	RAYTEDY 	IE	PO	Software	3166	APAC		
1184510	8/25/22	RAYTEDY 	IE	PO	Software	3170	APAC		
1184510	8/25/22	RAYTEDY 	IE	PO	Software	3172	APAC		
1184510	8/25/22	RAYTEDY 	IE	PO	Software	3174	APAC		
1184509	8/25/22	RO SPA P	CL	PO	Facilities	4102	CALA		
1184509	8/24/22	AEELTDEP	IN	PO	Facilities	6000	India		
1184508	8/24/22	OHOUSEOU	IN	PO	Facilities	6060	India		
1184508	8/24/22	SINRESNE	IN	PO	Learning & Development	6000	India		
1184507	8/24/22	LY  OY F	FI	NPO	Travel	2630	EMEA		U7393
1184506	8/24/22	CNILTDIQ	CY	PO	Facilities	2800	EMEA		
1184506	8/24/22	LROINCO 	US	PO	Marketing & Creative	2300	EMEA		
1184505	8/24/22	ET LTD M	IL	PO	Events	5000	ISR		
1184505	8/24/22	P FITYFI	GB	PO	Facilities	2506	EMEA		
1184504	8/24/22	HCAIONAN	CA	PO	Software	1900	North America		
1184504	8/24/22	HCAIONAN	CA	PO	Software	1944	North America	X	
1184504	8/24/22	HCAIONAN	CA	PO	Software	1946	North America	X	
1184503	8/24/22	U TLLCTA	US	PO	Facilities	1100	North America		
1184503	8/23/22	I BR OBP	CZ	PO	Facilities	2670	EMEA		
1184502	8/23/22	LERIGNRS	US	PO	Contingent Workforce	2800	EMEA		
1184502	8/23/22	R AICSAR	IL	PO	Learning & Development	5000	ISR		
1184501	8/22/22	CTIINCIA	US	PO	Events	1100	North America	X	
1184501	8/22/22	CTIINCIA	US	PO	Events	1200	North America		
1184501	8/22/22	CTIINCIA	US	PO	Events	2300	EMEA		
1184500	8/22/22	IWAE RAT	PE	PO	Professional Services	4140	CALA		
1184500	8/22/22	RITLLCT 	US	PO	Contingent Workforce	1114	North America		
1184500	8/22/22	RITLLCT 	US	PO	Contingent Workforce	1220	North America	X	
1184500	8/22/22	RITLLCT 	US	PO	Contingent Workforce	1222	North America	X	
1184499	8/22/22	JDE SAE 	UY	PO	Professional Services	1116	North America		
1184499	8/22/22	 AFLLCFF	US	PO	Learning & Development	1100	North America	X	
1184498	8/22/22	SWALTDAN	IL	PO	HR	5000	ISR		
1184498	8/22/22	MEDANYD 	RU	PO	Facilities	2250	EMEA	X	
1184498	8/22/22	MEDANYD 	RU	PO	Facilities	2252	EMEA		
1184497	8/22/22	NANLTDND	IL	PO	Facilities	5000	ISR		
1184496	8/19/22	DROBHDOU	MY	PO	Events	3100	APAC		
1184495	8/19/22	D PÇÃOPR	BR	PO	Events	4000	CALA		
1184495	8/19/22	DMA CVAS	MX	PO	Professional Services	1116	North America		
1184495	8/19/22	DMA CVAS	MX	PO	Professional Services	1118	North America	X	
1184494	8/19/22	CELDOSLL	BR	PO	Professional Services	4000	CALA		
1184493	8/18/22	C IINCIN	US	PO	Hardware	1100	North America		
1184493	8/17/22	MEDIAND 	RU	PO	Facilities	2250	EMEA		
1184493	8/17/22	MEDIAND 	RU	PO	Facilities	2252	EMEA		
1184492	8/17/22	GONSIAN 	PH	NPO	Professional Services	1210	North America		10193
1184492	8/17/22	GONSIAN 	PH	NPO	Professional Services	3104	APAC	X	10193
1184492	8/17/22	FARORPRE	PH	PO	Software	3104	APAC		
1184491	8/16/22	RRALLCA 	US	PO	Software	1200	North America		
1184490	8/16/22	BN DLE B	US	PO	Learning & Development	2300	EMEA		
1184490	8/16/22	DLITEDIM	GB	PO	Marketing & Creative	2300	EMEA		
1184489	8/16/22	DOLLTDLD	IN	PO	Facilities	6060	India		
1184489	8/16/22	I W DEWA	AR	PO	Professional Services	4130	CALA		
1184488	8/16/22	MINLLPND	IN	PO	Facilities	6000	India		
1184488	8/16/22	MINLLPND	IN	PO	Facilities	6002	India		
1184487	8/12/22	EPLLTDLA	IL	PO	Learning & Development	2300	EMEA		
1184487	8/12/22	EPLLTDLA	IL	PO	Learning & Development	5000	ISR		
1184486	8/12/22	EPELLCEA	US	PO	Contingent Workforce	1114	North America	X	
1184486	8/12/22	EPELLCEA	US	PO	Contingent Workforce	1220	North America		
1184486	8/12/22	EPELLCEA	US	PO	Contingent Workforce	1222	North America	X	
1184486	8/12/22	O CINGCO	US	PO	HR	2300	EMEA		
1184485	8/12/22	OSPTEDPR	GB	PO	Events	1200	North America		
1184485	8/11/22	T WLTDWO	IL	PO	Marketing & Creative	2300	EMEA		
1184484	8/11/22	VAILTDIL	GB	PO	Marketing & Creative	1116	North America	X	
1184484	8/11/22	VAILTDIL	GB	PO	Marketing & Creative	1960	North America	X	
1184484	8/11/22	VAILTDIL	GB	PO	Marketing & Creative	2150	EMEA		
1184483	8/10/22	 AMANYMA	US	PO	Facilities	1100	North America		
1184483	8/10/22	EUNINCNT	US	PO	Contingent Workforce	1114	North America		
1184483	8/10/22	EUNINCNT	US	PO	Contingent Workforce	1220	North America	X	
1184483	8/10/22	EUNINCNT	US	PO	Contingent Workforce	1222	North America	X	
1184482	8/10/22	VTAINCAG	US	PO	Gifts	1100	North America		
1184482	8/10/22	VTAINCAG	US	PO	Gifts	1900	North America		
1184482	8/10/22	VTAINCAG	US	PO	Gifts	2300	EMEA		
1184482	8/10/22	VTAINCAG	US	PO	Gifts	2800	EMEA		
1184482	8/10/22	RL LER F	IL	PO	Facilities	5000	ISR		
1184481	8/10/22	H LLTDLT	IL	PO	Professional Services	2300	EMEA		
1184481	8/10/22	H LLTDLT	IL	PO	Professional Services	5000	ISR		
1184481	8/10/22	H LLTDLT	IL	PO	Professional Services	5100	ISR		
1184480	8/10/22	YATLTDT 	IL	NPO	Professional Services	2150	EMEA		9999
1184480	8/10/22	YATLTDT 	IL	NPO	Professional Services	2170	EMEA		9999
1184480	8/10/22	YATLTDT 	IL	NPO	Professional Services	2174	EMEA		9999
1184480	8/10/22	YATLTDT 	IL	NPO	Professional Services	2182	EMEA		9999
1184480	8/10/22	YATLTDT 	IL	NPO	Professional Services	2300	EMEA		9999
1184480	8/10/22	YATLTDT 	IL	NPO	Professional Services	2500	EMEA		9999
1184480	8/10/22	YATLTDT 	IL	NPO	Professional Services	2520	EMEA		9999
1184480	8/10/22	YATLTDT 	IL	NPO	Professional Services	2620	EMEA		9999
1184480	8/10/22	YATLTDT 	IL	NPO	Professional Services	2800	EMEA		9999
1184480	8/10/22	YATLTDT 	IL	NPO	Professional Services	2900	EMEA		9999
1184480	8/10/22	YATLTDT 	IL	NPO	Professional Services	5100	ISR		9999
1184480	8/9/22	NCTADATE	IE	PO	Events	1944	North America		
1184479	8/9/22	  CLTDCH	IL	PO	Facilities	5000	ISR		
1184479	8/8/22	UN FZC I	AE	PO	Hardware	2500	EMEA		
1184479	8/8/22	UN FZC I	AE	PO	Hardware	2640	EMEA	X	
1184479	8/8/22	UN FZC I	AE	PO	Hardware	2800	EMEA		
1184478	8/8/22	I BAREBI	TR	PO	Software	2118	EMEA		
1184478	8/8/22	TENINCN 	US	PO	Events	1114	North America		
1184478	8/8/22	TENINCN 	US	PO	Events	1220	North America	X	
1184478	8/8/22	TENINCN 	US	PO	Events	1222	North America	X	
1184477	8/8/22	NINT	CL	PO	Professional Services	1116	North America		
1184477	8/8/22	NINT	CL	PO	Professional Services	1118	North America	X	
1184476	8/8/22	CIGLTDGI	IL	PO	Professional Services	2300	EMEA		
1184475	8/8/22	HA CES C	IN	PO	HR	6000	India		
1184475	8/8/22	LECICECH	IN	PO	Contingent Workforce	6012	India		
1184474	8/8/22	TS BHD M	MY	PO	Software	3100	APAC		
1184473	8/5/22	DSOTEDOL	CA	PO	Contingent Workforce	1946	North America		
1184473	8/5/22	G PORPPU	PR	NPO	Professional Services	4180	North America		U7363
1184472	8/5/22	VKIIOSIS	GR	PO	Events	2800	EMEA		
1184472	8/4/22	NMA SAAT	CL	PO	Facilities	4102	CALA		
1184471	8/4/22	R PINCPO	CA	NPO	Contingent Workforce	1900	North America		
1184470	8/4/22	PIAA/SAN	DK	PO	Software	2800	EMEA		
1184470	8/4/22	PIAA/SAN	DK	PO	Software	2900	EMEA		
1184470	8/4/22	AHILTDIR	IN	PO	HR	6000	India		
1184469	8/4/22	OSOLTDOF	SG	PO	Software	2200	EMEA		
1184469	8/4/22	NIC EUC 	IE	PO	Facilities	2000	EMEA		
1184469	8/4/22	NIC EUC 	IE	PO	Facilities	2001	EMEA		
1184468	8/3/22	LMELTDED	SG	PO	Facilities	3166	APAC		
1184468	8/3/22	LMELTDED	SG	PO	Facilities	3172	APAC	X	
1184467	8/3/22	NULLTDLN	AU	PO	Marketing & Creative	3174	APAC		
1184466	8/3/22	EALRTYL 	NZ	PO	Facilities	3170	APAC		
1184466	8/3/22	AVADALAD	IL	PO	Marketing & Creative	2300	EMEA		
1184466	8/3/22	AVADALAD	IL	PO	Marketing & Creative	5000	ISR	X	
1184465	8/3/22	 RALTDAG	IN	PO	Events	6000	India		
1184465	8/3/22	 RALTDAG	IN	PO	Events	6060	India		
1184465	8/3/22	EININCN 	US	PO	Facilities	3170	APAC	X	
1184464	8/3/22	EROINCOD	US	PO	Facilities	3170	APAC	X	
1184463	8/3/22	NNT BVT 	NL	PO	Contingent Workforce	2900	EMEA		
1184463	8/2/22	MOTLTDTO	IL	NPO	Vehicles	5000	ISR		7391
1184462	8/2/22	A MLLCME	AE	PO	Marketing & Creative	2300	EMEA		
1184461	8/1/22	TTA VEAN	TR	PO	Software	2118	EMEA		
1184460	8/1/22	WETB VTH	NL	PO	Hardware	1114	North America	X	
1184460	8/1/22	WETB VTH	NL	PO	Hardware	2126	EMEA	X	
1184460	8/1/22	WETB VTH	NL	PO	Hardware	2800	EMEA	X	
1184460	8/1/22	WETB VTH	NL	PO	Hardware	2900	EMEA	X	
1184460	8/1/22	WETB VTH	NL	PO	Hardware	3170	APAC	X	
1184460	8/1/22	NRILLCIE	US	PO	Learning & Development	2300	EMEA		
1184459	8/1/22	LTOENTO 	BR	PO	HR	4000	CALA	X	
1184459	8/1/22	M ETOSEV	BR	PO	Events	4000	CALA		
1184458	8/1/22	IOGINCGI	US	PO	Hardware	1100	North America	X	
1184458	7/29/22	WTATEDAT	GB	PO	Events	1200	North America		
1184457	7/29/22	N ELLCEN	US	PO	Facilities	1100	North America		
1184456	7/29/22	 OUSROUP	SK	PO	Events	2300	EMEA		
1184455	7/28/22	I PLTDPE	NZ	PO	Facilities	3170	APAC		
1184455	7/28/22	LAKLLPKA	GB	NPO	HR	2150	EMEA		U8012
1184454	7/27/22	RC OUP G	US	PO	Hardware	1100	North America		
1184453	7/26/22	AIZBALZO	IN	PO	Learning & Development	6000	India		
1184453	7/26/22	LIAINCA 	CA	PO	Real Estate	1944	North America		
1184452	7/26/22	ANULTDUR	IL	PO	Facilities	5000	ISR		
1184452	7/25/22	OO INC I	CA	PO	Software	1100	North America		
1184452	7/25/22	OO INC I	CA	PO	Software	1900	North America		
1184452	7/25/22	OO INC I	CA	PO	Software	2800	EMEA		
1184451	7/25/22	IT JSC I	AE	NPO	HR	2001	EMEA		U7599
1184451	7/25/22	IT JSC I	AE	NPO	HR	2150	EMEA		U7599
1184450	7/22/22	HAXLTDXM	IN	PO	IT Services	6000	India		
1184450	7/22/22	HAXLTDXM	IN	PO	IT Services	6002	India		
1184450	7/21/22	SORRANRT	IL	NPO	Travel	2300	EMEA		U7404
1184449	7/21/22	C PERSPA	PL	PO	Professional Services	2680	EMEA		U0046
1184449	7/21/22	REDLTDD 	IN	PO	Events	6000	India		
1184449	7/21/22	REDLTDD 	IN	PO	Events	6060	India		
1184448	7/20/22	UOXINCX 	CA	PO	Contingent Workforce	1900	North America		
1184448	7/20/22	BE	GB	PO	Marketing & Creative	2300	EMEA		
1184447	7/20/22	GTELTDEC	BG	PO	Facilities	2220	EMEA		
1184446	7/20/22	G LEVILE	IL	PO	Facilities	5000	ISR		
1184446	7/20/22	TA INC I	US	PO	Contingent Workforce	1114	North America		
1184446	7/20/22	TA INC I	US	PO	Contingent Workforce	1220	North America	X	
1184446	7/20/22	TA INC I	US	PO	Contingent Workforce	1222	North America	X	
1184446	7/20/22	TA INC I	US	PO	Contingent Workforce	1224	North America	X	
1184445	7/20/22	gfonc.ol	US	PO	HR	2800	EMEA		
1184445	7/20/22	APAINCAC	US	PO	Events	1114	North America		
1184445	7/20/22	APAINCAC	US	PO	Events	1220	North America	X	
1184445	7/20/22	APAINCAC	US	PO	Events	1222	North America	X	
1184444	7/18/22	ME TDA D	BR	PO	Events	4000	CALA		
1184443	7/18/22	ICHLTDH 	TW	PO	Hardware	2008	APAC		
1184443	7/18/22	CETLTDT 	IN	PO	Hardware	6000	India		
1184443	7/18/22	CETLTDT 	IN	PO	Hardware	6002	India	X	
1184443	7/18/22	CETLTDT 	IN	PO	Hardware	6012	India	X	
1184443	7/18/22	CETLTDT 	IN	PO	Hardware	6060	India	X	
1184442	7/18/22	D BLTDBU	BG	PO	Hardware	2220	EMEA		
1184442	7/18/22	NARTWORI	CY	PO	HR	2800	EMEA		
1184441	7/15/22	LON SANI	BR	PO	Hardware	4000	CALA		
1184441	7/15/22	LON SANI	BR	PO	Hardware	4042	CALA	X	
1184440	7/15/22	HIDTDADE	BR	PO	Software	4000	CALA		
1184439	7/15/22	DP LLC F	US	PO	Professional Services	2800	EMEA		
1184439	7/14/22	 RG SEGA	LU	PO	Professional Services	2800	EMEA		
1184438	7/14/22	ICALTDAE	IL	PO	HR	5000	ISR		
1184438	7/14/22	BC SSA J	RU	NPO	HR	2250	EMEA		U7599
1184438	7/14/22	BC SSA J	RU	NPO	HR	2252	EMEA		U7599
1184438	7/14/22	BC SSA J	RU	NPO	HR	2258	EMEA		U7599
1184437	7/14/22	IESLTDST	IN	PO	Facilities	6000	India		
1184437	7/14/22	IESLTDST	IN	PO	Facilities	6002	India		
1184436	7/13/22	LIZINCZE	US	PO	Software	2170	EMEA		
1184436	7/13/22	LIZINCZE	US	PO	Software	2200	EMEA		
1184436	7/13/22	NHELTDEE	GB	PO	Events	2300	EMEA		
1184436	7/13/22	NHELTDEE	GB	PO	Events	2500	EMEA		
1184435	7/13/22	TNDOGYDO	"ID"	PO	Software	3120	APAC		
1184434	7/12/22	GLALLCAN	US	PO	Professional Services	1200	North America		
1184433	7/12/22	NNTSOCT 	US	PO	Marketing & Creative	1116	North America		
1184433	7/12/22	NNTSOCT 	US	PO	Marketing & Creative	1200	North America	X	
1184433	7/12/22	NNTSOCT 	US	PO	Marketing & Creative	2150	EMEA	X	
1184433	7/12/22	NNTSOCT 	US	PO	Marketing & Creative	2300	EMEA	X	
1184433	7/12/22	OONHINNG	SG	PO	Marketing & Creative	2200	EMEA		
1184433	7/12/22	OONHINNG	SG	PO	Marketing & Creative	3166	APAC		
1184432	7/11/22	VIRLTDR 	AU	PO	Facilities	3002	APAC		
1184432	7/11/22	NERLTDRE	IL	PO	Events	5000	ISR		
1184431	7/11/22	DECONSCH	US	PO	Contingent Workforce	1114	North America	X	
1184431	7/11/22	DECONSCH	US	PO	Contingent Workforce	1220	North America	X	
1184431	7/11/22	DECONSCH	US	PO	Contingent Workforce	1222	North America	X	
1184431	7/11/22	DECONSCH	US	PO	Contingent Workforce	1224	North America	X	
1184430	7/8/22	HETINCTE	CA	NPO	Contingent Workforce	1100	North America	X	
1184430	7/8/22	HETINCTE	CA	NPO	Contingent Workforce	1900	North America		
1184430	7/8/22	A ADADAS	PE	PO	Professional Services	4140	CALA		U0046
1184429	7/7/22	MIT COTF	CA	PO	Real Estate	1900	North America		
1184429	7/6/22	BB  HK H	HK	PO	HR	3108	APAC	X	
1184429	7/6/22	BB  HK H	HK	PO	HR	3166	APAC		
1184428	7/6/22	IGY COY 	US	PO	Hardware	1116	North America	X	
1184428	7/6/22	IGY COY 	US	PO	Hardware	1960	North America		
1184428	7/6/22	IGY COY 	US	PO	Hardware	2150	EMEA	X	
